first_name,last_name,username,email,role_name,report_date,income,expenditures
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-01,0,21.24
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-02,0,121.0
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-03,1002.4,110.45
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-04,0,92.53
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-05,0,103.99
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-06,0,3.72
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-07,0,21.87
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-08,0,48.99
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-09,0,85.37
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-10,1032.75,35.4
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-11,0,69.09
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-12,0,128.95
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-13,0,126.12
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-14,0,98.32
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-15,0,78.89
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-16,0,19.59
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-17,1003.49,92.44
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-18,0,30.61
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-19,0,45.41
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-20,0,150.36
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-21,0,25.31
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-22,0,151.43
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-23,0,146.08
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-24,989.95,124.99
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-25,0,18.63
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-26,0,21.61
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-27,0,72.46
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-28,0,132.21
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-29,0,96.01
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-30,0,11.64
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-01-31,989.3,44.56
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-01,0,46.97
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-02,0,54.05
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-03,0,134.22
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-04,0,74.67
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-05,0,142.26
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-06,0,70.73
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-07,910.54,139.55
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-08,0,41.01
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-09,0,76.39
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-10,0,137.65
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-11,0,156.97
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-12,0,72.25
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-13,0,65.5
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-14,1165.11,114.17
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-15,0,132.25
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-16,0,12.93
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-17,0,122.86
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-18,0,3.55
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-19,0,149.76
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-20,0,43.61
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-21,1158.63,115.36
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-22,0,81.99
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-23,0,104.13
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-24,0,127.4
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-25,0,2.11
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-26,0,61.8
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-27,0,120.93
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-02-28,1182.66,64.86
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-03-01,0,127.77
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-03-02,0,113.04
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-03-03,0,37.37
Chris,Anderson,chris_anderson60,chris_anderson60@example.com,ADMIN,2025-03-04,0,150.82
